"municipio","ibge","latitude","longitude","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2010 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2011 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2012 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2013 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2014 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2015 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2016 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2017 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2018 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2019 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/Faixa Etária/de 18 a 24 anos 2020 (-)"
"São Vicente do Sul","4319802","-29.68819999999","-54.68260000000","114","112","117","146","156","133","117","146","138","125","104"
"Sapiranga","4319901","-29.63489999999","-51.00650000000","5.096","4.618","5.054","4.959","4.455","4.742","4.449","4.536","4.608","4.395","3.595"
"Sapucaia do Sul","4320008","-29.8276","-51.14500000000","3.739","3.765","3.656","3.685","3.634","3.260","2.946","3.055","2.941","2.863","2.820"
"Sarandi","4320107","-27.942","-52.92309999999","1.744","1.613","1.602","1.591","1.584","1.423","1.215","1.166","1.174","1.179","1.255"
"Seberi","4320206","-27.48290000000","-53.4026","318","314","349","353","337","551","507","638","637","593","678"
"Sede Nova","4320230","-27.63670000000","-53.94930000000","54","51","55","58","61","56","54","69","54","56","40"
"Segredo","4320263","-29.3523","-52.97670000000","32","29","40","47","55","67","51","42","42","50","40"
"Selbach","4320305","-28.6294","-52.94980000000","143","160","152","165","165","149","134","158","144","138","130"
"Senador Salgado Filho","4320321","-28.02500000000","-54.55069999999","58","74","84","79","78","48","45","38","44","41","40"
"Sentinela do Sul","4320354","-30.61070000000","-51.58619999999","59","107","104","112","94","65","72","72","60","63","73"
"Serafina Corrêa","4320404","-28.71259999999","-51.93529999999","1.125","1.224","1.202","1.183","1.133","1.035","1.016","960","1.032","982","1.087"
"Sério","4320453","-29.3904","-52.26850000000","29","33","37","45","47","41","23","34","32","35","20"
"Sertão","4320503","-27.97980000000","-52.25880000000","96","83","112","103","107","92","84","80","74","84","67"
"Sertão Santana","4320552","-30.45619999999","-51.60170000000","83","91","80","88","93","90","120","134","126","147","125"
"Sete de Setembro","4320578","-28.13619999999","-54.46370000000","24","17","13","14","17","15","16","14","9","13","7"
"Severiano de Almeida","4320602","-27.43619999999","-52.12169999999","56","57","71","75","81","64","66","47","45","63","61"
"Silveira Martins","4320651","-29.64669999999","-53.59100000000","41","39","42","31","32","24","28","26","28","25","23"
"Sinimbu","4320677","-29.53569999999","-52.53050000000","159","172","155","140","159","153","139","119","102","106","92"
"Sobradinho","4320701","-29.4194","-53.03260000000","467","561","514","508","516","494","427","445","370","421","456"
"Soledade","4320800","-28.8306","-52.51310000000","727","823","855","929","954","937","919","876","917","907","892"
"Tabaí","4320859","-29.64300000000","-51.68229999999","102","126","108","117","117","113","106","135","124","116","124"
"Tapejara","4320909","-28.06520000000","-52.00970000000","1.660","1.686","1.678","1.879","1.727","1.762","1.643","1.685","1.723","1.688","1.713"
"Tapera","4321006","-28.62770000000","-52.86119999999","395","344","345","403","395","342","327","300","278","273","270"
"Tapes","4321105","-30.66829999999","-51.39909999999","398","354","338","348","414","359","318","289","260","246","241"
"Taquara","4321204","-29.65050000000","-50.77530000000","2.206","2.298","2.410","2.412","2.377","2.131","2.009","2.033","1.934","1.926","1.902"
"Taquari","4321303","-29.7943","-51.86529999999","839","787","856","933","917","776","768","702","791","782","1.221"
"Taquaruçu do Sul","4321329","-27.40040000000","-53.47030000000","55","68","65","87","84","87","82","74","67","76","79"
"Tavares","4321352","-31.28430000000","-51.08800000000","107","104","60","92","97","87","85","76","66","79","82"
"Tenente Portela","4321402","-27.37109999999","-53.75849999999","362","392","400","427","441","501","428","444","430","462","431"
"Terra de Areia","4321436","-29.57819999999","-50.06439999999","266","290","372","369","374","325","320","360","361","371","375"
"Teutônia","4321451","-29.4482","-51.80440000000","2.519","2.359","2.278","2.273","2.243","2.151","2.162","2.048","2.035","1.954","1.484"
"Tio Hugo","4321469","-28.57404","-52.59490000000","107","100","98","115","125","119","94","92","90","96","92"
"Tiradentes do Sul","4321477","-27.40220000000","-54.08140000000","61","91","85","79","73","63","70","68","63","55","49"
"Toropi","4321493","-29.47820000000","-54.22440000000","28","32","32","28","30","33","17","19","15","18","14"
"Torres","4321501","-29.33340000000","-49.7333","1.638","1.754","1.823","1.863","1.937","1.873","1.739","1.745","1.817","1.855","1.768"
"Tramandaí","4321600","-29.98410000000","-50.13219999999","1.504","1.613","1.709","1.859","2.002","1.886","1.762","1.713","1.728","1.768","1.655"
